cProfile_30_100.dat
         5556146 function calls (2879839 primitive calls) in 5.583 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1185    0.004    0.000    0.008    0.000 <frozen importlib._bootstrap>:321(__exit__)
     8883    0.004    0.000    0.006    0.000 sre_parse.py:157(__getitem__)
        4    0.004    0.001    0.004    0.001 {built-in method posix.read}
   4889/8    0.004    0.000    3.612    0.451 <frozen importlib._bootstrap>:996(_handle_fromlist)
     1285    0.004    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:513(spec_from_file_location)
     7743    0.004    0.000    0.004    0.000 {built-in method builtins.setattr}
    10739    0.004    0.000    0.009    0.000 {built-in method builtins.any}
    10540    0.004    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:366(_verbose_message)
     1682    0.004    0.000    0.103    0.000 re.py:278(_compile)
        1    0.004    0.004    0.018    0.018 graph_reference.py:379(_get_objects)
        4    0.003    0.001    0.003    0.001 {built-in method _posixsubprocess.fork_exec}
     2462    0.003    0.000    0.003    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
    15878    0.003    0.000    0.003    0.000 {built-in method builtins.min}
      892    0.003    0.000    0.003    0.000 {method 'search' of '_sre.SRE_Pattern' objects}
   1078/2    0.003    0.000    3.611    1.805 <frozen importlib._bootstrap_external>:659(exec_module)
    10008    0.003    0.000    0.003    0.000 {method 'rpartition' of 'str' objects}
     5629    0.003    0.000    0.024    0.000 <frozen importlib._bootstrap_external>:68(_path_stat)
    17149    0.003    0.000    0.003    0.000 {method 'get' of 'dict' objects}
      368    0.003    0.000    0.014    0.000 inspect.py:1052(getfullargspec)
     2543    0.003    0.000    0.004    0.000 inspect.py:2399(__init__)
        1    0.003    0.003    0.016    0.016 graph_reference.py:458(_get_arrays)
     4224    0.003    0.000    0.005    0.000 pyparsing.py:340(__new__)
       89    0.003    0.000    0.079    0.001 _distn_infrastructure.py:1409(__init__)
      806    0.003    0.000    0.006    0.000 pyparsing.py:640(__iadd__)
  807/266    0.003    0.000    0.058    0.000 sre_parse.py:429(_parse_sub)
     1432    0.003    0.000    0.015    0.000 <frozen importlib._bootstrap>:163(__enter__)
    35013    0.003    0.000    0.003    0.000 {method 'items' of 'dict' objects}
     1078    0.003    0.000    0.133    0.000 <frozen importlib._bootstrap_external>:474(_compile_bytecode)
     3756    0.003    0.000    0.014    0.000 fromnumeric.py:1892(any)
      638    0.003    0.000    0.003    0.000 version.py:343(_cmpkey)
        4    0.003    0.001    0.004    0.001 cookiejar.py:455(parse_ns_headers)
     3860    0.003    0.000    0.003    0.000 {built-in method numpy.core.multiarray.array}
    29811    0.003    0.000    0.003    0.000 {built-in method builtins.id}
      900    0.003    0.000    0.005    0.000 copy.py:269(_reconstruct)
1185/1165    0.003    0.000    0.100    0.000 <frozen importlib._bootstrap>:570(module_from_spec)
2653/1850    0.003    0.000    0.009    0.000 __init__.py:2193(yield_lines)
      567    0.003    0.000    0.019    0.000 textwrap.py:415(dedent)
      105    0.003    0.000    0.053    0.001 __init__.py:356(namedtuple)
     1040    0.002    0.000    0.003    0.000 pyparsing.py:397(__setitem__)
     2429    0.002    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:78(_path_is_mode_type)
        1    0.002    0.002    0.015    0.015 graph_reference.py:430(_patch_objects)
     2948    0.002    0.000    0.002    0.000 graph_reference.py:406(<listcomp>)
      906    0.002    0.000    0.002    0.000 _weakrefset.py:36(__init__)
      384    0.002    0.000    0.054    0.000 __init__.py:1967(find_on_path)
    10751    0.002    0.000    0.004    0.000 mathtext.py:2596(<genexpr>)
     1548    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:74(__init__)
     2948    0.002    0.000    0.002    0.000 graph_reference.py:463(<listcomp>)
  294/186    0.002    0.000    0.005    0.000 abc.py:194(__subclasscheck__)
     1544    0.002    0.000    0.004    0.000 posixpath.py:71(join)
       44    0.002    0.000    0.002    0.000 {built-in method builtins.dir}
     1021    0.002    0.000    0.002    0.000 {method 'replace' of 'str' objects}
     1181    0.002    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:342(_get_cached)
     2158    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:56(_path_split)
     1284    0.002    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1210(_get_spec)
        3    0.002    0.001    0.002    0.001 {method 'readlines' of '_io._IOBase' objects}
     1563    0.002    0.000    0.022    0.000 __init__.py:2530(_get_metadata)
