cProfile_30_100.dat
         5556146 function calls (2879839 primitive calls) in 5.583 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.001    0.001 pdb.py:65(<module>)
      129    0.000    0.000    0.000    0.000 specifiers.py:673(__iter__)
        2    0.000    0.000    0.001    0.000 response.py:1(<module>)
        2    0.000    0.000    0.151    0.076 rsa.py:5(<module>)
       27    0.000    0.000    0.000    0.000 core.py:863(__init__)
       40    0.000    0.000    0.000    0.000 sre_parse.py:251(getwhile)
        1    0.000    0.000    0.214    0.214 pyopenssl.py:43(<module>)
        1    0.000    0.000    0.007    0.007 ssl.py:88(<module>)
      488    0.000    0.000    0.000    0.000 {method 'read' of '_io.BytesIO' objects}
        1    0.000    0.000    0.000    0.000 panel.py:44(SparsePanel)
        1    0.000    0.000    0.000    0.000 moments.py:4(<module>)
       27    0.000    0.000    0.000    0.000 argparse.py:1476(_get_handler)
       20    0.000    0.000    0.000    0.000 __init__.py:1929(find_distributions)
      124    0.000    0.000    0.000    0.000 __init__.py:2892(_get_mro)
       26    0.000    0.000    0.001    0.000 base.py:67(__init__)
      286    0.000    0.000    0.000    0.000 {method 'end' of '_sre.SRE_Match' objects}
       52    0.000    0.000    0.000    0.000 expressions.py:85(ophelper)
       46    0.000    0.000    0.000    0.000 queue.py:239(_qsize)
      129    0.000    0.000    0.000    0.000 specifiers.py:624(__hash__)
        1    0.000    0.000    0.031    0.031 interface.py:3(<module>)
        2    0.000    0.000    0.001    0.000 py3compat.py:2(<module>)
       81    0.000    0.000    0.000    0.000 six.py:139(__init__)
        5    0.000    0.000    0.100    0.020 __init__.py:11(<module>)
       14    0.000    0.000    0.000    0.000 contextlib.py:37(__init__)
       18    0.000    0.000    0.000    0.000 decode_asn1.py:783(<lambda>)
      177    0.000    0.000    0.000    0.000 io.py:39(clone)
        1    0.000    0.000    0.002    0.002 request.py:68(<module>)
        1    0.000    0.000    0.001    0.001 series.py:4(<module>)
        1    0.000    0.000    0.032    0.032 magic.py:3(<module>)
       45    0.000    0.000    0.000    0.000 threading.py:252(_is_owned)
        3    0.000    0.000    0.000    0.000 io.py:27(__init__)
        3    0.000    0.000    0.001    0.000 configparser.py:599(__init__)
        1    0.000    0.000    0.001    0.001 application.py:120(Application)
        1    0.000    0.000    0.000    0.000 mbcssm.py:28(<module>)
        1    0.000    0.000    0.006    0.006 osm.py:45(OSMagics)
        1    0.000    0.000    0.000    0.000 core.py:830(_DomainGreaterEqual)
       31    0.000    0.000    0.000    0.000 argparse.py:1356(_add_action)
        1    0.000    0.000    0.121    0.121 api.py:5(<module>)
        1    0.000    0.000    0.000    0.000 SSL.py:1(<module>)
        1    0.000    0.000    0.016    0.016 mbcsgroupprober.py:30(<module>)
        2    0.000    0.000    0.000    0.000 socket.py:638(close)
        2    0.000    0.000    0.000    0.000 _mapping.py:14(<module>)
      257    0.000    0.000    0.000    0.000 hmac.py:11(<genexpr>)
       24    0.000    0.000    0.000    0.000 {method 'gc' of 'CompiledFFI' objects}
       59    0.000    0.000    0.000    0.000 {built-in method unicodedata.normalize}
        1    0.000    0.000    0.000    0.000 quoprimime.py:27(<module>)
      122    0.000    0.000    0.000    0.000 {built-in method _codecs.charmap_decode}
      124    0.000    0.000    0.000    0.000 token.py:24(__init__)
        1    0.000    0.000    0.000    0.000 response.py:274(_flush_decoder)
        6    0.000    0.000    0.000    0.000 weakref.py:101(__init__)
       31    0.000    0.000    0.000    0.000 _collections.py:180(__iter__)
        2    0.000    0.000    0.000    0.000 os.py:663(get_exec_path)
        2    0.000    0.000    0.000    0.000 decode_asn1.py:316(_decode_basic_constraints)
      250    0.000    0.000    0.000    0.000 __init__.py:863(<genexpr>)
        1    0.000    0.000    0.000    0.000 xmlreader.py:11(XMLReader)
        1    0.000    0.000    0.001    0.001 hierarchy.py:133(<module>)
        1    0.000    0.000    0.001    0.001 stata.py:11(<module>)
        4    0.000    0.000    0.000    0.000 cgi.py:301(_parseparam)
        1    0.000    0.000    0.000    0.000 crypto.py:1(<module>)
       24    0.000    0.000    0.000    0.000 pyparsing.py:4702(<lambda>)
        2    0.000    0.000    0.000    0.000 pyopenssl.py:299(close)
        1    0.000    0.000    0.000    0.000 decode_asn1.py:5(<module>)
        2    0.000    0.000    0.000    0.000 decode_asn1.py:383(_decode_key_usage)
        2    0.000    0.000    0.005    0.003 connection.py:1(<module>)
        1    0.000    0.000    0.007    0.007 execution.py:2(<module>)
        1    0.000    0.000    0.000    0.000 cookies.py:170(<dictcomp>)
        1    0.000    0.000    0.000    0.000 tools.py:1464(FigureFactory)
       65    0.000    0.000    0.001    0.000 pyparsing.py:4175(__init__)
       13    0.000    0.000    0.000    0.000 __init__.py:1239(__init__)
        2    0.000    0.000    0.000    0.000 connectionpool.py:166(__init__)
       47    0.000    0.000    0.000    0.000 threading.py:240(__exit__)
        2    0.000    0.000    0.000    0.000 crypto.py:1301(_get_name)
      134    0.000    0.000    0.000    0.000 __init__.py:1853(__init__)
       25    0.000    0.000    0.000    0.000 cache.py:102(decorator)
        4    0.000    0.000    0.008    0.002 adapters.py:300(close)
      136    0.000    0.000    0.000    0.000 {method 'issuperset' of 'frozenset' objects}
        2    0.000    0.000    0.001    0.000 display.py:2(<module>)
       50    0.000    0.000    0.000    0.000 {method 'rstrip' of 'bytes' objects}
       18    0.000    0.000    0.002    0.000 gettext.py:409(translation)
       40    0.000    0.000    0.000    0.000 _inspect.py:98(getargspec)
       18    0.000    0.000    0.000    0.000 traitlets.py:1866(__init__)
        1    0.000    0.000    0.007    0.007 containers.py:4(<module>)
        2    0.000    0.000    0.008    0.004 __init__.py:26(<module>)
       44    0.000    0.000    0.000    0.000 tag.py:59(__init__)
        2    0.000    0.000    3.006    1.503 adapters.py:375(send)
       12    0.000    0.000    0.000    0.000 printing.py:156(pprint_thing)
        1    0.000    0.000    0.002    0.002 panel.py:3(<module>)
        1    0.000    0.000    0.002    0.002 indexing.py:3(<module>)
       52    0.000    0.000    0.000    0.000 {method 'copy' of 'mappingproxy' objects}
        2    0.000    0.000    0.004    0.002 core.py:1(<module>)
       57    0.000    0.000    0.000    0.000 __init__.py:19(__new__)
       18    0.000    0.000    0.001    0.000 argparse.py:478(_format_text)
        2    0.000    0.000    0.001    0.000 _collections.py:135(__init__)
       40    0.000    0.000    0.001    0.000 argparse.py:2344(_get_formatter)
       89    0.000    0.000    0.000    0.000 utils.py:22(read_only_property)
       43    0.000    0.000    0.001    0.000 graph_reference.py:112(string_to_class_name)
        1    0.000    0.000    0.019    0.019 utils.py:9(<module>)
       50    0.000    0.000    0.000    0.000 traitlets.py:902(__call__)
        2    0.000    0.000    0.003    0.001 dsa.py:5(<module>)
        1    0.000    0.000    0.002    0.002 models.py:8(<module>)
        1    0.000    0.000    0.022    0.022 client.py:69(<module>)
       18    0.000    0.000    0.001    0.000 argparse.py:1346(add_argument_group)
        1    0.000    0.000    0.007    0.007 key.py:23(<module>)
        6    0.000    0.000    0.000    0.000 patches.py:1747(<listcomp>)
        1    0.000    0.000    0.011    0.011 __init__.py:205(<module>)
        6    0.000    0.000    0.000    0.000 cookies.py:40(__init__)
       22    0.000    0.000    0.000    0.000 queue.py:245(_get)
        6    0.000    0.000    0.001    0.000 _version.py:55(__init__)
       62    0.000    0.000    0.000    0.000 posixpath.py:158(islink)
        1    0.000    0.000    0.001    0.001 pydoc.py:36(<module>)
        1    0.000    0.000    0.000    0.000 {built-in method posix.rmdir}
        1    0.000    0.000    0.001    0.001 optimize.py:17(<module>)
        2    0.000    0.000    0.005    0.002 __init__.py:52(<module>)
        1    0.000    0.000    0.004    0.004 cookies.py:127(<module>)
      257    0.000    0.000    0.000    0.000 hmac.py:10(<genexpr>)
      132    0.000    0.000    0.000    0.000 expr.py:143(<lambda>)
        2    0.000    0.000    3.421    1.711 sessions.py:411(request)
        8    0.000    0.000    0.000    0.000 weakref.py:130(__getitem__)
      617    0.000    0.000    0.000    0.000 {method 'reverse' of 'list' objects}
       72    0.000    0.000    0.022    0.000 cm.py:52(_reverse_cmap_spec)
       12    0.000    0.000    0.000    0.000 generic.py:5315(_make_stat_function_ddof)
        1    0.000    0.000    0.000    0.000 __init__.py:638(<listcomp>)
       57    0.000    0.000    0.000    0.000 {built-in method unicodedata.category}
        1    0.000    0.000    0.002    0.002 lexer.py:10(<module>)
        1    0.000    0.000    0.002    0.002 cli.py:3(<module>)
       18    0.000    0.000    0.000    0.000 enum.py:99(<dictcomp>)
        1    0.000    0.000    0.035    0.035 application.py:10(<module>)
        1    0.000    0.000    0.005    0.005 mathtext.py:2073(Parser)
        6    0.000    0.000    0.000    0.000 cookies.py:503(cookiejar_from_dict)
        1    0.000    0.000    0.002    0.002 formatters.py:8(<module>)
        4    0.000    0.000    0.000    0.000 inspect.py:573(cleandoc)
        9    0.000    0.000    0.000    0.000 {method 'split' of 'bytes' objects}
      122    0.000    0.000    0.000    0.000 zipfile.py:436(_decodeExtra)
        1    0.000    0.000    0.001    0.001 tty.py:1(<module>)
        2    0.000    0.000    0.002    0.001 frame.py:4(<module>)
        1    0.000    0.000    0.000    0.000 tools.py:1(<module>)
       10    0.000    0.000    0.000    0.000 getlimits.py:151(<lambda>)
       84    0.000    0.000    0.000    0.000 traitlets.py:181(is_trait)
        1    0.000    0.000    0.001    0.001 latin1prober.py:29(<module>)
      271    0.000    0.000    0.000    0.000 {method '__subclasses__' of 'type' objects}
       16    0.000    0.000    0.000    0.000 warnings.py:78(_add_filter)
        1    0.000    0.000    0.001    0.001 categorical.py:141(Categorical)
       14    0.000    0.000    0.000    0.000 tag.py:97(tagImplicitly)
        1    0.000    0.000    0.001    0.001 categorical.py:3(<module>)
      360    0.000    0.000    0.000    0.000 argparse.py:641(<genexpr>)
        8    0.000    0.000    0.003    0.000 ops.py:151(add_special_arithmetic_methods)
        1    0.000    0.000    0.000    0.000 base.py:794(IndexOpsMixin)
        9    0.000    0.000    0.000    0.000 numeric.py:2576(seterr)
       22    0.000    0.000    0.000    0.000 ipaddress.py:1099(_ip_int_from_string)
       18    0.000    0.000    0.002    0.000 gettext.py:475(dgettext)
       17    0.000    0.000    0.000    0.000 copy.py:125(_copy_with_constructor)
        6    0.000    0.000    0.003    0.000 enum.py:532(_convert)
        1    0.000    0.000    0.000    0.000 {built-in method numexpr.interpreter._set_num_threads}
       24    0.000    0.000    0.000    0.000 six.py:126(__init__)
        1    0.000    0.000    0.014    0.014 inputtransformer.py:5(<module>)
        1    0.000    0.000    0.023    0.023 universaldetector.py:29(<module>)
        1    0.000    0.000    0.000    0.000 defaults.py:3(<module>)
        6    0.000    0.000    0.000    0.000 sre_parse.py:846(parse_template)
        1    0.000    0.000    0.000    0.000 array.py:92(SparseArray)
        1    0.000    0.000    0.001    0.001 vt100_input.py:3(<module>)
        1    0.000    0.000    0.006    0.006 application.py:2(<module>)
       16    0.000    0.000    0.000    0.000 {method 'gettimeout' of '_socket.socket' objects}
        1    0.000    0.000    0.001    0.001 ops.py:2(<module>)
        1    0.000    0.000    0.003    0.003 sbcsgroupprober.py:29(<module>)
        1    0.000    0.000    0.005    0.005 shutil.py:5(<module>)
      287    0.000    0.000    0.000    0.000 {method 'remove' of 'set' objects}
       31    0.000    0.000    0.000    0.000 argparse.py:785(__init__)
        3    0.000    0.000    0.019    0.006 machar.py:98(__init__)
        1    0.000    0.000    0.002    0.002 category.py:1(<module>)
        1    0.000    0.000    0.002    0.002 nonlin.py:106(<module>)
     11/2    0.000    0.000    0.001    0.000 graph_objs.py:391(__setitem__)
        1    0.000    0.000    0.001    0.001 signal.py:1(<module>)
        2    0.000    0.000    0.011    0.006 getlimits.py:127(_init)
        2    0.000    0.000    0.000    0.000 SSL.py:970(set_options)
        5    0.000    0.000    0.000    0.000 {built-in method posix.waitpid}
        1    0.000    0.000    0.002    0.002 oid.py:5(<module>)
      187    0.000    0.000    0.000    0.000 pyparsing.py:3485(<genexpr>)
        2    0.000    0.000    0.000    0.000 {function Random.seed at 0x7fb43f102158}
        1    0.000    0.000    0.002    0.002 pathlib.py:1(<module>)
       11    0.000    0.000    0.000    0.000 graph_reference.py:307(get_role)
        1    0.000    0.000    0.002    0.002 pickle.py:24(<module>)
       80    0.000    0.000    0.000    0.000 binding.py:40(_openssl_assert)
        1    0.000    0.000    0.000    0.000 config.py:54(__init__)
       79    0.000    0.000    0.000    0.000 _inspect.py:133(strseq)
        2    0.000    0.000    0.003    0.001 linecache.py:82(updatecache)
       11    0.000    0.000    0.000    0.000 {method '_checkReadable' of '_io._IOBase' objects}
        1    0.000    0.000    0.003    0.003 packager.py:9(<module>)
        3    0.000    0.000    0.010    0.003 _util.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:854(RcParams)
        2    0.000    0.000    0.002    0.001 core.py:307(uts46_remap)
       12    0.000    0.000    0.000    0.000 __init__.py:1774(getLogger)
        8    0.000    0.000    0.000    0.000 enum.py:459(__new__)
        5    0.000    0.000    0.012    0.002 artist.py:1476(kwdoc)
        5    0.000    0.000    0.000    0.000 base.py:3156(_add_numeric_methods_disabled)
        1    0.000    0.000    0.006    0.006 cookiejar.py:26(<module>)
        1    0.000    0.000    0.002    0.002 webbrowser.py:412(register_X_browsers)
        1    0.000    0.000    0.000    0.000 internals.py:2523(BlockManager)
        1    0.000    0.000    0.001    0.001 panel.py:111(Panel)
        1    0.000    0.000    0.002    0.002 completer.py:8(<module>)
        1    0.000    0.000    0.001    0.001 smtplib.py:33(<module>)
        1    0.000    0.000    0.002    0.002 window.py:7(<module>)
        1    0.000    0.000    0.010    0.010 buffer.py:4(<module>)
        1    0.000    0.000    0.000    0.000 encoder.py:2(<module>)
        2    0.000    0.000    0.000    0.000 ipaddress.py:27(ip_address)
       45    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.RLock' objects}
        1    0.000    0.000    0.000    0.000 extras.py:10(<module>)
        1    0.000    0.000    0.002    0.002 plistlib.py:47(<module>)
        2    0.000    0.000    0.005    0.002 history.py:1(<module>)
        4    0.000    0.000    0.009    0.002 util.py:1(<module>)
        2    0.000    0.000    0.008    0.004 __init__.py:45(<module>)
        2    0.000    0.000    0.000    0.000 idnadata.py:4(<module>)
        1    0.000    0.000    0.001    0.001 excel.py:3(<module>)
      136    0.000    0.000    0.000    0.000 utils.py:26(register_interface)
        2    0.000    0.000    0.000    0.000 SSL.py:982(set_mode)
        2    0.000    0.000    0.006    0.003 path.py:4(<module>)
       39    0.000    0.000    0.001    0.000 config.py:719(inner)
       19    0.000    0.000    0.000    0.000 nosetester.py:511(_numpy_tester)
        9    0.000    0.000    0.003    0.000 magic_arguments.py:108(__init__)
       22    0.000    0.000    0.010    0.000 pyparsing.py:4196(__init__)
        1    0.000    0.000    0.000    0.000 python.py:767(NumPyLexer)
      266    0.000    0.000    0.000    0.000 pyparsing.py:4328(postParse)
      194    0.000    0.000    0.000    0.000 pyparsing.py:4726(<genexpr>)
       23    0.000    0.000    0.000    0.000 core.py:6348(getdoc)
        1    0.000    0.000    0.001    0.001 adapters.py:9(<module>)
        1    0.000    0.000    0.000    0.000 json.py:3(<module>)
      122    0.000    0.000    0.000    0.000 cp437.py:14(decode)
        1    0.000    0.000    0.001    0.001 blas.py:143(<module>)
        1    0.000    0.000    0.006    0.006 reshape.py:3(<module>)
       87    0.000    0.000    0.000    0.000 magic.py:115(record_magic)
        3    0.000    0.000    0.034    0.011 exceptions.py:1(<module>)
        1    0.000    0.000    0.004    0.004 controls.py:3(<module>)
        1    0.000    0.000    0.001    0.001 io.py:4(<module>)
      220    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
        2    0.000    0.000    0.012    0.006 api.py:1(<module>)
        1    0.000    0.000    0.000    0.000 sql.py:5(<module>)
        2    0.000    0.000    0.002    0.001 models.py:334(prepare_url)
        8    0.000    0.000    0.000    0.000 generic.py:5370(_make_logical_function)
       18    0.000    0.000    0.001    0.000 magic_arguments.py:69(_fill_text)
        3    0.000    0.000    0.000    0.000 subprocess.py:1618(wait)
       29    0.000    0.000    0.000    0.000 encoder.py:104(__init__)
        2    0.000    0.000    0.000    0.000 utils.py:359(get_encoding_from_headers)
        1    0.000    0.000    0.001    0.001 tarfile.py:30(<module>)
       21    0.000    0.000    0.001    0.000 six.py:807(__new__)
        2    0.000    0.000    0.001    0.001 sessions.py:308(__init__)
        2    0.000    0.000    0.001    0.001 hashes.py:5(<module>)
        1    0.000    0.000    0.000    0.000 eucjpprober.py:28(<module>)
        1    0.000    0.000    0.010    0.010 __init__.py:108(<module>)
        1    0.000    0.000    0.000    0.000 shellapp.py:101(InteractiveShellApp)
        1    0.000    0.000    0.002    0.002 fontconfig_pattern.py:71(__init__)
        3    0.000    0.000    0.000    0.000 {method 'close' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.000    0.000 core.py:2642(MaskedArray)
        1    0.000    0.000    0.000    0.000 _cm.py:6(<module>)
       16    0.000    0.000    0.001    0.000 cookies.py:91(origin_req_host)
        1    0.000    0.000    0.011    0.011 sjisprober.py:28(<module>)
       30    0.000    0.000    0.000    0.000 ops.py:1234(_comp_method_PANEL)
        1    0.000    0.000    0.010    0.010 transforms.py:30(<module>)
        1    0.000    0.000    0.327    0.327 utils.py:7(<module>)
        1    0.000    0.000    0.215    0.215 embed.py:4(<module>)
        1    0.000    0.000    0.000    0.000 gbq.py:1(<module>)
      107    0.000    0.000    0.000    0.000 <string>:16(_make)
       16    0.000    0.000    0.000    0.000 cookies.py:87(unverifiable)
      190    0.000    0.000    0.000    0.000 pyparsing.py:180(<genexpr>)
        2    0.000    0.000    0.087    0.043 __init__.py:7(<module>)
       28    0.000    0.000    0.000    0.000 ipaddress.py:1612(_make_netmask)
      258    0.000    0.000    0.000    0.000 pyparsing.py:4650(<lambda>)
        1    0.000    0.000    0.000    0.000 shellapp.py:5(<module>)
       21    0.000    0.000    0.001    0.000 six.py:800(with_metaclass)
        4    0.000    0.000    0.003    0.001 platform.py:950(uname)
        1    0.000    0.000    0.002    0.002 groupby.py:2497(SeriesGroupBy)
       15    0.000    0.000    0.000    0.000 utils.py:193(to_key_val_list)
        1    0.000    0.000    0.004    0.004 PyColorize.py:30(<module>)
        2    0.000    0.000    0.809    0.404 ssl_.py:277(ssl_wrap_socket)
        2    0.000    0.000    0.000    0.000 {built-in method _openssl.SSL_new}
        1    0.000    0.000    0.000    0.000 pydoc.py:1656(Helper)
        1    0.000    0.000    0.000    0.000 multi.py:3(<module>)
       11    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
        2    0.000    0.000    0.008    0.004 sessions.py:687(close)
        1    0.000    0.000    0.001    0.001 arpack.py:7(<module>)
        2    0.000    0.000    0.000    0.000 {built-in method _ctypes.POINTER}
       40    0.000    0.000    0.000    0.000 core.py:108(get_object_signature)
       54    0.000    0.000    0.000    0.000 argparse.py:189(_dedent)
        1    0.000    0.000    0.004    0.004 __init__.py:133(<module>)
        1    0.000    0.000    0.001    0.001 threading.py:1(<module>)
        2    0.000    0.000    1.198    0.599 client.py:1153(getresponse)
        1    0.000    0.000    0.003    0.003 lines.py:4(<module>)
        1    0.000    0.000    0.013    0.013 textpath.py:3(<module>)
        1    0.000    0.000    0.002    0.002 poolmanager.py:1(<module>)
        2    0.000    0.000    0.000    0.000 lazy.py:135(__new__)
        1    0.000    0.000    0.000    0.000 __init__.py:1156(<listcomp>)
       31    0.000    0.000    0.000    0.000 argparse.py:1547(_add_action)
       47    0.000    0.000    0.000    0.000 ipaddress.py:158(_split_optional_netmask)
       75    0.000    0.000    0.000    0.000 cbook.py:687(iterable)
        4    0.000    0.000    0.000    0.000 response.py:285(_error_catcher)
     20/1    0.000    0.000    0.000    0.000 tools.py:1377(_replace_newline)
        2    0.000    0.000    0.000    0.000 response.py:198(_init_length)
       14    0.000    0.000    0.001    0.000 sessions.py:42(merge_setting)
       14    0.000    0.000    0.000    0.000 __init__.py:142(_check_size)
        2    0.000    0.000    0.000    0.000 SSL.py:1670(get_peer_certificate)
        1    0.000    0.000    0.000    0.000 necompiler.py:11(<module>)
        1    0.000    0.000    0.006    0.006 compat.py:22(<module>)
        1    0.000    0.000    0.001    0.001 modes.py:5(<module>)
        1    0.000    0.000    0.001    0.001 retry.py:1(<module>)
        1    0.000    0.000    0.002    0.002 __init__.py:88(<module>)
        5    0.000    0.000    0.000    0.000 offsets.py:943(__init__)
       18    0.000    0.000    0.000    0.000 {built-in method _openssl.X509_get_ext}
        1    0.000    0.000    0.020    0.020 config.py:49(<module>)
        1    0.000    0.000    0.000    0.000 python.py:200(Python3Lexer)
       16    0.000    0.000    0.000    0.000 cookiejar.py:955(set_ok_version)
        4    0.000    0.000    0.000    0.000 crypto.py:461(__setattr__)
        1    0.000    0.000    0.016    0.016 filepost.py:1(<module>)
        1    0.000    0.000    0.001    0.001 vi.py:2(<module>)
        1    0.000    0.000    0.000    0.000 calendar.py:6(<module>)
       23    0.000    0.000    0.000    0.000 numerictypes.py:216(_evalname)
        1    0.000    0.000    0.001    0.001 sysconfig.py:10(<module>)
        2    0.000    0.000    0.000    0.000 weakref.py:155(__setitem__)
        1    0.000    0.000    0.001    0.001 basic.py:5(<module>)
        1    0.000    0.000    0.002    0.002 __init__.py:1610(build)
       16    0.000    0.000    0.000    0.000 cookiejar.py:982(set_ok_name)
        3    0.000    0.000    0.000    0.000 ssl.py:195(_dnsname_match)
        8    0.000    0.000    0.000    0.000 message.py:30(_splitparam)
        1    0.000    0.000    0.002    0.002 matfuncs.py:5(<module>)
       22    0.000    0.000    0.000    0.000 rcsetup.py:62(<listcomp>)
       67    0.000    0.000    0.000    0.000 core.py:6042(isMaskedArray)
       16    0.000    0.000    0.000    0.000 six.py:195(load_module)
        1    0.000    0.000    0.000    0.000 charmap.py:11(<module>)
        1    0.000    0.000    0.002    0.002 npyio.py:1(<module>)
        1    0.000    0.000    0.000    0.000 response.py:342(read)
       18    0.000    0.000    0.000    0.000 argparse.py:233(start_section)
        3    0.000    0.000    0.000    0.000 __init__.py:42(normalize_encoding)
        1    0.000    0.000    0.002    0.002 index_tricks.py:1(<module>)
       17    0.000    0.000    0.000    0.000 magic.py:89(magics_class)
       12    0.000    0.000    0.000    0.000 cookiejar.py:448(strip_quotes)
       14    0.000    0.000    0.000    0.000 contextlib.py:131(helper)
        1    0.000    0.000    0.001    0.001 tz.py:9(<module>)
      186    0.000    0.000    0.000    0.000 {method 'ljust' of 'str' objects}
        2    0.000    0.000    0.000    0.000 tokenize.py:450(open)
       30    0.000    0.000    0.000    0.000 traitlets.py:2263(class_init)
        1    0.000    0.000    0.001    0.001 ssl_.py:1(<module>)
        1    0.000    0.000    0.001    0.001 cmac.py:5(<module>)
        1    0.000    0.000    0.003    0.003 exception.py:26(<module>)
        5    0.000    0.000    0.000    0.000 subprocess.py:1570(_internal_poll)
        1    0.000    0.000    0.004    0.004 _internal.py:6(<module>)
        1    0.000    0.000    0.027    0.027 application.py:1(<module>)
        1    0.000    0.000    0.001    0.001 backend_tools.py:12(<module>)
       73    0.000    0.000    0.000    0.000 signal.py:10(<lambda>)
        2    0.000    0.000    0.001    0.000 text.py:9(<module>)
        2    0.000    0.000    0.005    0.002 sessions.py:371(prepare_request)
        2    0.000    0.000    0.003    0.001 parser.py:60(parsestr)
        1    0.000    0.000    0.000    0.000 python.py:28(PythonLexer)
        1    0.000    0.000    0.001    0.001 dbapi2.py:23(<module>)
        2    0.000    0.000    0.000    0.000 decode_asn1.py:332(_decode_subject_key_identifier)
        7    0.000    0.000    0.005    0.001 ops.py:220(add_flex_arithmetic_methods)
       28    0.000    0.000    0.000    0.000 subprocess.py:1480(<genexpr>)
      258    0.000    0.000    0.000    0.000 pyparsing.py:1340(parseImpl)
        2    0.000    0.000    0.000    0.000 {built-in method _openssl.SSLv23_method}
       11    0.000    0.000    0.000    0.000 nanops.py:27(__init__)
        3    0.000    0.000    0.000    0.000 configparser.py:1216(__init__)
       20    0.000    0.000    0.000    0.000 {method 'index' of 'list' objects}
        1    0.000    0.000    0.004    0.004 webbrowser.py:155(open)
        1    0.000    0.000    0.000    0.000 key.py:48(Key)
        1    0.000    0.000    0.001    0.001 code.py:2(<module>)
        1    0.000    0.000    0.001    0.001 context.py:1(<module>)
      441    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
        8    0.000    0.000    0.000    0.000 cookiejar.py:873(__init__)
        1    0.000    0.000    0.000    0.000 fromnumeric.py:3(<module>)
        1    0.000    0.000    0.000    0.000 category.py:17(CategoricalIndex)
       44    0.000    0.000    0.000    0.000 rcsetup.py:316(validate_color)
       52    0.000    0.000    0.000    0.000 calendar.py:55(__getitem__)
       22    0.000    0.000    0.001    0.000 pyparsing.py:1181(setResultsName)
        1    0.000    0.000    0.001    0.001 utf8prober.py:28(<module>)
        1    0.000    0.000    0.001    0.001 generic.py:1(<module>)
        1    0.000    0.000    0.003    0.003 iterative.py:1(<module>)
       34    0.000    0.000    0.000    0.000 pyparsing.py:3962(__str__)
      110    0.000    0.000    0.000    0.000 _collections_abc.py:308(__subclasshook__)
        4    0.000    0.000    0.000    0.000 message.py:121(__init__)
      125    0.000    0.000    0.000    0.000 six.py:86(__init__)
      128    0.000    0.000    0.001    0.000 __init__.py:2306(_parse_extras)
        2    0.000    0.000    0.000    0.000 message.py:214(get_payload)
      152    0.000    0.000    0.000    0.000 pyparsing.py:2011(leaveWhitespace)
        1    0.000    0.000    0.000    0.000 series.py:120(__init__)
        7    0.000    0.000    0.000    0.000 parser.py:294(_convert)
        1    0.000    0.000    0.005    0.005 execution.py:146(ExecutionMagics)
       54    0.000    0.000    0.000    0.000 argparse.py:185(_indent)
        1    0.000    0.000    0.015    0.015 widgets.py:10(<module>)
        1    0.000    0.000    0.000    0.000 markers.py:97(MarkerStyle)
        1    0.000    0.000    0.001    0.001 zipfile.py:5(<module>)
        4    0.000    0.000    0.000    0.000 {built-in method utcnow}
        1    0.000    0.000    0.001    0.001 sessions.py:9(<module>)
        6    0.000    0.000    0.007    0.001 config.py:761(is_instance_factory)
       47    0.000    0.000    0.000    0.000 {method '__enter__' of '_thread.lock' objects}
        1    0.000    0.000    0.000    0.000 expr.py:263(BaseExprVisitor)
        4    0.000    0.000    0.001    0.000 pyopenssl.py:372(verify_mode)
        1    0.000    0.000    0.001    0.001 interfaces.py:5(<module>)
       35    0.000    0.000    0.000    0.000 os.py:851(fsencode)
       14    0.000    0.000    0.000    0.000 {method 'groups' of '_sre.SRE_Match' objects}
        2    0.000    0.000    0.000    0.000 client.py:417(flush)
        1    0.000    0.000    0.003    0.003 webbrowser.py:2(<module>)
        1    0.000    0.000    0.001    0.001 vt100_output.py:8(<module>)
       38    0.000    0.000    0.000    0.000 cookiejar.py:46(_debug)
        1    0.000    0.000    0.000    0.000 backend.py:221(_register_default_ciphers)
       25    0.000    0.000    0.000    0.000 cache.py:19(__init__)
        1    0.000    0.000    0.000    0.000 tdi.py:70(TimedeltaIndex)
       18    0.000    0.000    0.000    0.000 enum.py:47(__init__)
        1    0.000    0.000    0.002    0.002 cgi.py:16(<module>)
       51    0.000    0.000    0.000    0.000 six.py:173(_add_module)
      133    0.000    0.000    0.000    0.000 expr.py:145(<genexpr>)
      4/1    0.000    0.000    0.001    0.001 graph_objs.py:354(__init__)
        9    0.000    0.000    0.000    0.000 moments.py:453(_rolling_func)
        1    0.000    0.000    0.000    0.000 {built-in method time.tzset}
       44    0.000    0.000    0.000    0.000 six.py:103(__init__)
        1    0.000    0.000    0.002    0.002 case.py:1(<module>)
        1    0.000    0.000    0.001    0.001 pytables.py:1(<module>)
      166    0.000    0.000    0.000    0.000 ipaddress.py:417(_check_int_address)
        1    0.000    0.000    0.000    0.000 mstats.py:94(<module>)
